Image Index,PSNR,SSIM,LPIPS
1,34.7305,0.9144,0.3048
2,34.8603,0.9257,0.2355
3,34.1031,0.8819,0.2874
4,32.6425,0.8832,0.1925
5,32.4731,0.8757,0.2477
6,34.2329,0.9154,0.2729
7,32.2205,0.7571,0.1720
8,35.2742,0.9446,0.2109
9,33.5117,0.9078,0.2419
10,35.4443,0.9376,0.2691
11,32.2862,0.8574,0.1836
12,32.3642,0.8663,0.1974
13,36.5171,0.9525,0.1869
14,32.8545,0.8753,0.2617
15,32.8529,0.8954,0.1914
16,33.5740,0.8919,0.1967
17,32.8270,0.8709,0.2406
18,34.4664,0.9282,0.1936
19,32.9729,0.8551,0.1674
20,32.3100,0.8051,0.2605
21,33.3789,0.9028,0.1906
22,34.5624,0.9266,0.2255
23,36.1497,0.9529,0.2124
24,34.4071,0.8940,0.3229
25,32.6947,0.8655,0.2780
26,31.2262,0.8547,0.2279
27,35.0428,0.9371,0.2140
28,30.1900,0.8463,0.2071
29,32.3713,0.7647,0.1816
30,33.4650,0.9055,0.2014
31,33.4412,0.9095,0.1732
32,33.6479,0.8932,0.2074
33,33.8786,0.9197,0.2384
34,32.5020,0.8774,0.2473
35,33.9941,0.9229,0.2059
36,34.8144,0.8935,0.2733
37,32.8471,0.8959,0.1992
38,32.5215,0.8791,0.2227
39,32.8555,0.8927,0.2445
40,32.6917,0.8512,0.2019
41,32.6186,0.9051,0.1964
42,33.3438,0.9077,0.2168
43,32.5447,0.8097,0.2036
44,32.9253,0.8815,0.1927
45,33.8594,0.9010,0.2246
46,35.5123,0.9236,0.2633
47,32.7992,0.8857,0.2121
48,33.6439,0.9020,0.2258
49,34.6091,0.9322,0.2111
50,35.5375,0.9376,0.2259
51,33.5734,0.9082,0.2123
52,32.6596,0.8954,0.1905
53,32.7570,0.8869,0.2107
54,33.1160,0.8961,0.2018
55,32.5471,0.8799,0.2265
56,33.2041,0.8981,0.1917
57,33.5981,0.9003,0.1692
58,33.2658,0.8934,0.2208
59,33.7795,0.9028,0.1735
60,33.0901,0.8950,0.2018
61,34.9385,0.9382,0.1882
62,35.4316,0.9165,0.3115
63,33.3051,0.8927,0.1902
64,33.3426,0.9032,0.2096
65,32.9799,0.8986,0.1790
66,31.0547,0.8740,0.2801
67,33.2733,0.8988,0.2038
68,38.0342,0.9753,0.2639
69,33.1941,0.8942,0.2493
70,33.6477,0.9056,0.1864
71,33.4408,0.8949,0.2461
72,32.1966,0.8543,0.2331
73,35.3460,0.9505,0.2440
74,34.8287,0.9339,0.2229
75,32.6740,0.8743,0.2383
76,32.9260,0.8788,0.2102
77,33.6356,0.8786,0.2233
78,32.6068,0.8620,0.1844
79,32.7603,0.8677,0.1934
80,32.9787,0.9041,0.2169
81,34.2211,0.8955,0.2003
82,33.4135,0.9077,0.2257
83,33.8357,0.9042,0.2094
84,33.2941,0.9050,0.1917
85,35.1743,0.9161,0.2262
86,34.6736,0.9331,0.1994
87,33.7269,0.8975,0.2003
88,33.1168,0.8899,0.2423
89,34.8844,0.9262,0.2324
90,35.9474,0.9473,0.2502
91,33.3254,0.8340,0.1950
92,33.1453,0.9014,0.2035
93,34.4908,0.9314,0.2109
94,32.4538,0.7434,0.2311
95,33.1742,0.8830,0.1910
96,32.4352,0.8651,0.3152
97,32.3871,0.8921,0.2409
98,33.2301,0.8820,0.2677
99,34.7317,0.9246,0.3201
100,33.5632,0.9062,0.2413
101,33.2135,0.9066,0.3089
102,33.0380,0.8666,0.1950
103,33.8673,0.9175,0.2532
104,33.2587,0.9062,0.2716
105,33.3292,0.8982,0.2401
106,30.5719,0.8197,0.2049
107,34.2593,0.9224,0.2342
108,33.2268,0.8897,0.2074
109,35.0798,0.8846,0.3075
110,34.8721,0.9259,0.2287
111,33.3949,0.8981,0.2482
112,32.6901,0.8873,0.1930
113,35.0568,0.9298,0.2424
114,32.1243,0.8791,0.2143
115,33.6374,0.8930,0.1817
116,32.8185,0.8858,0.2402
117,32.8052,0.8802,0.2037
118,34.8482,0.9271,0.2464
119,34.7918,0.9376,0.2136
120,34.1869,0.9038,0.2834
121,34.5143,0.9145,0.1836
122,33.0626,0.8157,0.1961
123,33.3017,0.8622,0.2082
124,34.0307,0.9017,0.2118
125,33.7072,0.9083,0.1697
126,33.4818,0.9150,0.2302
127,33.3360,0.8892,0.2188
128,35.3186,0.9167,0.2869
129,32.9923,0.8817,0.2332
130,32.6032,0.8421,0.2035
131,33.8118,0.9155,0.1878
132,33.6361,0.8937,0.2088
133,33.3098,0.9071,0.2347
134,32.6773,0.8757,0.2421
135,35.3371,0.9032,0.2505
136,33.9074,0.9035,0.1977
137,32.2982,0.8652,0.2210
138,33.0935,0.8897,0.2092
139,33.0514,0.8805,0.1969
140,32.9140,0.8960,0.2175
141,31.1399,0.8571,0.1903
142,33.1849,0.8917,0.2454
143,36.0793,0.9508,0.2176
144,32.2925,0.8498,0.2156
145,33.0333,0.9019,0.1906
146,32.9616,0.8943,0.2219
147,33.2712,0.9242,0.1602
148,33.1460,0.8973,0.2153
149,33.3050,0.8747,0.1343
150,32.2477,0.8691,0.2001
151,32.8844,0.8748,0.2093
152,32.7674,0.9062,0.1814
153,34.3613,0.9158,0.1944
154,33.4951,0.9067,0.2094
155,34.7059,0.9273,0.2677
156,33.5665,0.8900,0.2141
157,32.6003,0.8967,0.2260
158,32.4991,0.8784,0.2004
159,32.6772,0.8727,0.2060
160,33.3496,0.8935,0.2849
161,32.8791,0.8523,0.1812
162,34.0405,0.8944,0.3206
163,34.3363,0.8915,0.3068
164,33.3412,0.9107,0.1806
165,32.7252,0.8883,0.2068
166,35.8475,0.9506,0.2085
167,33.9588,0.9145,0.2994
168,33.5257,0.9040,0.2604
169,33.2008,0.9037,0.2604
170,32.2222,0.8430,0.2777
171,33.5034,0.9029,0.2665
172,33.9406,0.9083,0.2378
173,33.0071,0.8920,0.2424
174,33.5962,0.9025,0.2043
175,33.5229,0.9060,0.2166
176,34.1113,0.9172,0.2638
177,33.0236,0.8612,0.1898
178,33.3088,0.9064,0.2235
179,32.6144,0.8869,0.2235
180,33.9125,0.9136,0.2098
181,32.8416,0.8848,0.2137
182,36.2283,0.9558,0.1979
183,32.3694,0.8781,0.1941
184,33.6535,0.9057,0.2457
185,32.7826,0.8897,0.2076
186,33.3179,0.9059,0.2100
187,34.2111,0.9150,0.1736
188,33.7471,0.8985,0.2680
189,32.2643,0.8078,0.2082
190,32.7089,0.8832,0.1967
191,32.6651,0.8704,0.1753
192,32.7078,0.8811,0.2779
193,33.6880,0.9290,0.2306
194,32.1612,0.8821,0.1949
195,32.6405,0.8677,0.1898
196,35.4372,0.8954,0.2697
197,33.0405,0.7889,0.1333
198,33.0194,0.8675,0.2325
199,32.8788,0.8792,0.2079
200,33.4789,0.8950,0.2755
201,33.3779,0.8981,0.1997
202,32.2861,0.8832,0.2123
203,33.6496,0.9095,0.1561
204,32.9335,0.9000,0.1913
205,34.4158,0.9224,0.2250
206,34.2406,0.9026,0.2274
207,33.0608,0.8951,0.2392
208,34.1070,0.9221,0.2138
209,35.4755,0.9383,0.2703
210,33.2862,0.8974,0.2048
211,33.4192,0.9005,0.1836
212,32.5292,0.8472,0.2552
213,32.5278,0.8727,0.2327
214,33.8951,0.9086,0.1696
215,35.5414,0.9198,0.2421
216,32.2765,0.8693,0.2505
217,33.1377,0.8960,0.2123
218,33.2158,0.8938,0.1944
219,33.6877,0.8997,0.2549
220,33.1927,0.8886,0.1935
221,34.6124,0.9350,0.2425
222,32.9282,0.5968,0.1320
223,35.8347,0.9494,0.2148
224,36.1044,0.9584,0.2025
225,33.5712,0.9103,0.1741
226,32.2052,0.8625,0.2112
227,33.9860,0.9172,0.2462
228,34.0379,0.9195,0.1948
229,32.6385,0.8943,0.2197
230,32.0848,0.8738,0.2039
231,33.4197,0.9006,0.2270
232,32.7007,0.8949,0.2493
233,33.1762,0.8845,0.2526
234,32.7655,0.8495,0.1911
235,33.7025,0.9000,0.2398
236,33.7658,0.9165,0.2259
237,32.7579,0.8950,0.2178
238,33.0009,0.9040,0.2273
239,32.6996,0.8390,0.1968
240,33.8872,0.9031,0.2046
241,33.1261,0.8937,0.1701
242,33.2873,0.9058,0.2136
243,33.4101,0.9030,0.2490
244,33.5512,0.8798,0.1818
245,32.5357,0.7681,0.1738
246,32.9601,0.8826,0.2879
247,33.4541,0.9086,0.2683
248,33.1040,0.8868,0.2532
249,33.2852,0.8935,0.2176
250,32.6990,0.8870,0.2587
251,31.7350,0.8701,0.2084
252,34.1930,0.9191,0.2119
253,32.9736,0.9099,0.1975
254,33.4073,0.8662,0.1834
255,33.9801,0.9149,0.2228
256,32.9854,0.9079,0.2312
257,32.6114,0.8258,0.1833
258,36.9072,0.9617,0.1812
259,33.7313,0.8930,0.1802
260,33.7069,0.9040,0.2652
261,32.7594,0.7983,0.1911
262,32.1569,0.8635,0.2474
263,34.2244,0.8363,0.1464
264,32.0862,0.8686,0.2848
265,34.0672,0.9258,0.2162
266,33.9294,0.9142,0.2279
267,33.4816,0.9080,0.1924
268,32.9925,0.8859,0.2026
269,33.2848,0.8750,0.2047
270,33.1467,0.9031,0.1706
271,33.2846,0.8961,0.2294
272,34.1816,0.9041,0.2500
273,33.9862,0.9267,0.2171
274,33.0022,0.8840,0.2076
275,32.9664,0.8825,0.1833
276,32.6341,0.8790,0.2081
277,34.0896,0.9028,0.1758
278,34.6607,0.9282,0.1983
279,33.2711,0.9105,0.1976
280,33.1170,0.8912,0.2492
281,32.7064,0.8896,0.2427
282,34.6618,0.9137,0.2859
283,33.1572,0.8186,0.1653
284,32.5958,0.8875,0.1779
285,32.4354,0.8941,0.2434
286,32.1577,0.8376,0.2128
287,34.7072,0.9021,0.2849
288,33.1883,0.9072,0.1888
289,34.2662,0.9223,0.2318
290,32.3604,0.8564,0.1783
291,32.4191,0.8745,0.2159
292,33.6870,0.9084,0.2606
293,33.5256,0.9037,0.2520
294,33.4699,0.9054,0.2097
295,37.6303,0.9708,0.1814
296,33.7987,0.9137,0.2225
297,30.7350,0.8325,0.2408
298,32.4122,0.8850,0.1819
299,35.6258,0.9424,0.2956
300,34.5580,0.9366,0.2316
301,34.2703,0.9044,0.2453
302,34.4882,0.9184,0.2636
303,34.4493,0.8555,0.1622
304,32.7495,0.8640,0.1986
305,33.4589,0.9044,0.2359
306,33.0973,0.8889,0.2496
307,34.5920,0.9230,0.2524
308,31.8510,0.8563,0.1701
309,31.9626,0.6790,0.1652
310,32.3947,0.8792,0.2155
311,34.2896,0.9223,0.1676
312,37.5215,0.9696,0.2319
313,32.3716,0.8677,0.1845
314,32.8177,0.8626,0.2019
315,33.5280,0.9108,0.1722
316,32.4867,0.8876,0.1966
317,32.4230,0.8272,0.2107
318,35.3123,0.9494,0.2215
319,33.4762,0.8917,0.2218
320,33.4282,0.9082,0.2167
321,33.9599,0.9205,0.2069
322,33.7059,0.9104,0.2383
323,32.5991,0.8854,0.2184
324,33.0250,0.8896,0.2285
325,32.7459,0.8882,0.2075
326,33.7810,0.9040,0.1812
327,34.1496,0.9388,0.1399
328,32.9066,0.8721,0.1855
329,33.6698,0.9117,0.2198
330,33.9940,0.9037,0.1880
331,32.6083,0.8369,0.1883
332,32.9564,0.9005,0.2515
333,33.3901,0.9086,0.2712
334,33.0849,0.8888,0.1925
335,32.8353,0.8664,0.1827
336,35.2433,0.9411,0.2135
337,34.2848,0.9378,0.2092
338,34.4408,0.9259,0.2213
339,32.8542,0.8744,0.2304
340,33.1509,0.8953,0.2222
341,34.3811,0.9179,0.2519
342,32.4842,0.8679,0.1952
343,32.0471,0.8774,0.2044
344,35.6769,0.9395,0.2323
345,32.8792,0.9009,0.2339
346,31.6186,0.8441,0.2194
347,32.0875,0.8502,0.2102
348,32.9590,0.8900,0.2402
349,32.4661,0.8405,0.1896
350,33.9297,0.8581,0.1455
351,33.7807,0.9057,0.2080
352,32.4504,0.8783,0.2244
353,35.4602,0.9179,0.2944
354,32.7285,0.8853,0.1954
355,33.3114,0.8870,0.1845
356,33.3808,0.8930,0.1919
357,33.7741,0.9071,0.2166
358,35.2040,0.9155,0.1953
359,33.3409,0.9130,0.2015
360,34.9288,0.9363,0.2291
361,33.7464,0.9018,0.1777
362,32.3135,0.8879,0.2114
363,33.2728,0.9124,0.2301
364,32.1886,0.8773,0.2105
365,33.3792,0.8937,0.1871
366,32.7547,0.8770,0.2365
367,33.9921,0.9129,0.2375
368,32.3280,0.8778,0.2274
369,33.3919,0.8980,0.1647
370,32.3059,0.8805,0.2598
371,33.5310,0.8817,0.2030
372,32.8152,0.8651,0.2207
373,33.1896,0.8828,0.2173
374,33.4213,0.8777,0.1929
375,32.6132,0.8825,0.2110
376,32.2818,0.8696,0.2171
377,32.4497,0.8734,0.2430
378,32.9889,0.8925,0.2181
379,32.3139,0.8729,0.1999
380,32.9904,0.8939,0.2187
381,32.9185,0.8844,0.2207
382,33.6223,0.8974,0.1835
383,34.6637,0.9204,0.2042
384,34.6882,0.9254,0.2432
385,34.0316,0.9138,0.2272
386,33.2469,0.8999,0.2334
387,33.0568,0.8547,0.1907
388,31.7884,0.8167,0.2037
389,32.8766,0.7938,0.1825
390,33.1565,0.9078,0.2247
391,32.6336,0.8943,0.2028
392,33.9364,0.8908,0.1819
393,33.6180,0.9101,0.2094
394,32.7413,0.8874,0.2284
395,32.7196,0.8713,0.2268
396,32.9883,0.8959,0.2199
397,32.8991,0.8739,0.2316
398,35.8973,0.9551,0.2375
399,33.7687,0.8913,0.1814
400,34.4385,0.8748,0.1770
401,33.0642,0.8948,0.1972
402,32.1501,0.8656,0.2825
403,34.2117,0.9165,0.2080
404,33.1029,0.8859,0.2492
405,32.7935,0.8830,0.2350
406,35.3960,0.9478,0.2655
407,35.6023,0.9507,0.1844
408,33.1289,0.8854,0.2207
409,32.5917,0.8667,0.2190
410,34.5173,0.8881,0.2896
411,33.3308,0.9203,0.1852
412,33.3627,0.8828,0.2514
413,33.1465,0.8938,0.2388
414,33.5394,0.9047,0.1562
415,33.7785,0.8596,0.1851
416,33.0078,0.9055,0.1893
417,34.1840,0.9177,0.2287
418,33.3413,0.8939,0.2484
419,33.6229,0.9017,0.2252
420,32.6566,0.8888,0.2324
421,33.4676,0.9023,0.2356
422,33.0496,0.8994,0.2664
423,33.5078,0.8747,0.2113
424,31.6152,0.8625,0.2692
425,33.0741,0.8905,0.2221
426,33.0354,0.8902,0.2547
427,33.5262,0.9071,0.1792
428,34.3009,0.9041,0.3163
429,34.8261,0.9316,0.2220
430,32.5785,0.8811,0.1930
431,32.7389,0.8818,0.2219
432,33.4374,0.9102,0.1797
433,34.8920,0.9237,0.2243
434,32.0791,0.8664,0.2235
435,32.8806,0.8916,0.2058
436,32.9514,0.8767,0.2069
437,34.1681,0.9099,0.2601
438,32.8309,0.9249,0.1392
439,33.8088,0.9105,0.1838
440,32.7099,0.8795,0.2346
441,33.2454,0.9037,0.2081
442,32.5437,0.8959,0.2455
443,33.3337,0.9009,0.2273
444,32.5189,0.8888,0.1939
445,33.1537,0.8831,0.2519
446,35.0161,0.9274,0.2532
447,32.6265,0.8684,0.2015
448,33.6079,0.8502,0.2103
449,33.8418,0.9159,0.1817
450,32.7233,0.8797,0.2609
451,31.8051,0.8399,0.2464
452,34.8368,0.9345,0.2318
453,31.4713,0.8496,0.2618
454,33.6660,0.9046,0.1741
455,32.7624,0.8808,0.1974
456,34.3560,0.9116,0.2514
457,32.7961,0.8437,0.2075
458,33.0217,0.9077,0.2178
459,34.0623,0.9219,0.2075
460,33.3464,0.9007,0.2093
461,32.9599,0.8327,0.1579
462,35.4081,0.9312,0.2932
463,33.2022,0.9031,0.2008
464,33.4662,0.8783,0.2158
465,36.2509,0.9461,0.2625
466,35.1079,0.9244,0.2390
467,34.5286,0.9175,0.2770
468,34.4527,0.9392,0.1196
469,34.2686,0.9229,0.2405
470,33.5309,0.9127,0.1682
471,32.6907,0.8809,0.2043
472,33.4208,0.9137,0.2365
473,34.5895,0.9256,0.2125
474,33.8968,0.9047,0.2852
475,33.0391,0.8928,0.1692
476,32.6450,0.8904,0.1941
477,33.3567,0.8978,0.1986
478,32.5084,0.8876,0.2228
479,30.9297,0.8569,0.2131
480,33.4953,0.9022,0.2079
481,33.5456,0.8932,0.1646
482,33.7262,0.8984,0.2750
483,34.5261,0.9195,0.2079
484,34.8150,0.9246,0.2711
485,33.2788,0.8861,0.1903
486,33.4086,0.8927,0.2004
487,35.5871,0.9495,0.2452
488,32.8844,0.8656,0.2112
489,33.9217,0.9138,0.2292
490,33.5088,0.9060,0.2219
491,32.8401,0.8938,0.2110
492,34.2680,0.8951,0.2979
493,33.7515,0.9094,0.1981
494,33.9773,0.8715,0.1862
495,35.1888,0.9468,0.2088
496,33.6711,0.8936,0.2417
497,33.3155,0.9148,0.2128
498,33.1274,0.8908,0.2353
499,34.1335,0.9120,0.1972
500,32.3425,0.8732,0.2190
501,33.9799,0.9234,0.2365
502,33.8694,0.9122,0.1887
503,36.4142,0.9598,0.2053
504,34.4459,0.9011,0.2854
505,32.4746,0.8635,0.2044
506,34.2853,0.8977,0.3163
507,32.9227,0.9026,0.2236
508,33.0843,0.8866,0.2465
509,35.4926,0.9197,0.2918
510,32.9152,0.8949,0.2191
511,33.2296,0.9075,0.2028
512,33.6175,0.9020,0.2192
513,33.7694,0.8907,0.2199
514,30.8028,0.8289,0.2680
515,33.2570,0.8970,0.1940
516,34.0515,0.9167,0.2548
517,33.6994,0.9235,0.1780
518,32.2533,0.8842,0.1972
519,34.1273,0.9269,0.2596
520,32.9600,0.8955,0.1811
521,34.3016,0.9078,0.2536
522,33.2074,0.8993,0.2318
523,35.5862,0.9246,0.2717
524,34.7051,0.8814,0.2870
525,33.2513,0.8619,0.1921
526,32.0680,0.8767,0.2388
527,32.2365,0.8655,0.2302
528,32.9713,0.8763,0.1809
529,32.8886,0.8895,0.2346
530,34.1765,0.8726,0.3018
531,34.5626,0.9111,0.2721
532,32.5947,0.8277,0.1981
533,34.0281,0.9125,0.2146
534,31.8171,0.8247,0.2150
535,33.0178,0.8962,0.1823
536,34.6334,0.9124,0.2652
537,34.5689,0.9332,0.2304
538,33.7490,0.9046,0.1916
539,32.6062,0.8659,0.2144
540,35.2701,0.9519,0.2651
541,32.6343,0.8785,0.2162
542,32.6798,0.8834,0.2065
543,34.7368,0.9178,0.2850
544,33.8350,0.9221,0.2224
545,34.1376,0.9021,0.2797
546,34.9850,0.9394,0.2289
547,33.5178,0.8912,0.2627
548,33.7085,0.8851,0.1809
549,33.0905,0.8958,0.2410
550,32.9469,0.8531,0.1882
551,32.2495,0.8662,0.2054
552,33.0816,0.8862,0.2637
553,32.3649,0.8822,0.1995
554,32.5158,0.8939,0.1859
555,34.6695,0.9360,0.2199
556,33.1534,0.8505,0.1734
557,33.3941,0.9111,0.2577
558,32.2669,0.8909,0.1903
559,31.4204,0.8565,0.2422
560,36.0492,0.9480,0.2153
561,32.2173,0.8754,0.2357
562,35.4143,0.9493,0.2063
563,32.6325,0.8796,0.1944
564,33.2608,0.9023,0.2095
565,33.7096,0.9028,0.2781
566,34.7531,0.9138,0.2079
567,32.2602,0.8676,0.2087
568,33.9273,0.9163,0.2123
569,35.2914,0.8989,0.2651
570,32.9608,0.8270,0.2081
571,33.0877,0.8954,0.2362
572,34.1680,0.9127,0.1863
573,34.0568,0.9058,0.2950
574,32.8709,0.8851,0.1892
575,33.8725,0.9084,0.2319
576,33.1536,0.8959,0.2190
577,32.2216,0.8483,0.2071
578,32.8710,0.8641,0.2092
579,32.7591,0.8708,0.1910
580,34.7653,0.9261,0.2463
581,32.2294,0.8302,0.1946
582,32.9311,0.8875,0.2438
583,32.0311,0.7524,0.2209
584,34.1878,0.8923,0.2576
585,32.6739,0.8691,0.1858
586,32.8160,0.8424,0.2009
587,33.9608,0.9081,0.2058
588,32.3734,0.8882,0.2358
589,33.9328,0.9085,0.2062
590,33.2833,0.8845,0.2315
591,32.7518,0.8568,0.1932
592,33.3138,0.8891,0.2386
593,33.0195,0.8902,0.2183
594,33.2815,0.8848,0.1774
595,32.6352,0.8727,0.1974
596,33.1091,0.8372,0.1968
597,32.3783,0.8776,0.2291
598,32.6251,0.8966,0.2022
599,33.7037,0.9101,0.1814
600,33.4558,0.8928,0.2458
601,33.5771,0.9051,0.2252
602,32.7453,0.8961,0.2102
603,32.9297,0.8869,0.2192
604,33.0105,0.8813,0.1921
605,33.4828,0.8938,0.1871
606,34.4240,0.8740,0.1530
607,33.6857,0.9048,0.2182
608,33.4809,0.8871,0.2852
609,33.7621,0.9150,0.2097
610,32.5260,0.8513,0.1857
611,32.4611,0.8336,0.1747
612,31.3257,0.8571,0.2611
613,33.7238,0.9071,0.2095
614,32.2450,0.8561,0.2293
615,32.8829,0.8974,0.1842
616,35.6734,0.9433,0.2042
617,33.3144,0.8915,0.2351
618,34.3389,0.9161,0.2217
619,33.1143,0.8811,0.2667
620,32.6771,0.8986,0.1984
621,32.7233,0.8929,0.2292
622,35.1984,0.9418,0.2900
623,34.0732,0.9112,0.2280
624,32.6740,0.8833,0.2867
625,33.3548,0.9006,0.2409
626,34.3969,0.9195,0.2380
627,30.3052,0.8110,0.2066
628,33.0005,0.8989,0.2164
629,33.4904,0.9075,0.1903
630,33.6482,0.8941,0.2092
631,33.3127,0.9018,0.2313
632,32.6099,0.7916,0.2058
633,31.9915,0.8733,0.2085
634,33.0052,0.8958,0.2263
635,32.3457,0.8777,0.2246
636,35.0467,0.9134,0.2981
637,33.7006,0.9183,0.2292
638,33.5250,0.9184,0.2502
639,34.3242,0.9147,0.2404
640,31.2458,0.8424,0.2353
641,33.9865,0.9217,0.2379
642,33.2407,0.9073,0.2039
643,32.9966,0.8465,0.1830
644,36.5046,0.9495,0.2779
645,33.0925,0.9012,0.2196
646,33.9690,0.9119,0.2092
647,33.3118,0.8956,0.2042
648,33.8322,0.9041,0.1911
649,33.4519,0.9055,0.1878
650,33.1259,0.8910,0.2427
651,33.8012,0.9176,0.2623
652,33.0808,0.8964,0.2154
653,33.0161,0.8812,0.1831
654,34.0252,0.9113,0.2315
655,32.4327,0.8769,0.2224
